"","rcc","gcc","bcc","brt","night.filtered","max.filtered","doy","time","DATE_POSIX"
"1",0.408092551468194,0.322407051502576,0.268887124531419,302.533715868194,0.322407051502576,0.322501533144793,2016-04-01,2016-07-19,2016-04-01
"2",0.428565871355304,0.314751290747317,0.256465441743189,305.205360497193,0.314751290747317,0.322501533144793,2016-04-02,2016-07-19,2016-04-02
"3",0.395196985808605,0.318112528682019,0.285565886074855,281.208882741616,0.318112528682019,0.325286855348632,2016-04-03,2016-07-19,2016-04-03
"4",0.350634913388252,0.324670328858948,0.324421671815057,317.907967755439,0.324670328858948,0.325286855348632,2016-04-04,2016-07-19,2016-04-04
"5",0.406820842512659,0.319335490456673,0.273405667748844,274.481776180305,0.319335490456673,0.325286855348632,2016-04-05,2016-07-19,2016-04-05
"6",0.415309739902699,0.318443215011753,0.266698576336374,275.092263789579,0.318443215011753,0.322452713653817,2016-04-06,2016-07-19,2016-04-06
"7",0.402399742168593,0.320953293729145,0.277439449969804,289.897795108726,0.320953293729145,0.322452713653817,2016-04-07,2016-07-19,2016-04-07
"8",0.414551721309,0.318991164411268,0.266320109781083,301.433105724069,0.318991164411268,0.322452713653817,2016-04-08,2016-07-19,2016-04-08
"9",0.43187490784175,0.318096141281633,0.249682265866545,290.202269141183,0.318096141281633,0.319840227811177,2016-04-09,2016-07-19,2016-04-09
"10",0.432903939291875,0.317302160054137,0.249270178198091,288.488299309505,0.317302160054137,0.321030515278392,2016-04-10,2016-07-19,2016-04-10
"11",0.413637791748397,0.320937683287292,0.265375206926768,298.566291645518,0.320937683287292,0.321030515278392,2016-04-11,2016-07-19,2016-04-11
"12",0.423405102443447,0.317410124325702,0.258050200659312,303.791259865581,0.317410124325702,0.321030515278392,2016-04-12,2016-07-19,2016-04-12
"13",0.439733155108734,0.31793742973078,0.243879118417249,278.044596183954,0.31793742973078,0.319504444653458,2016-04-13,2016-07-19,2016-04-13
"14",0.437137616032794,0.318116580636484,0.24528091806378,279.043792676737,0.318116580636484,0.319504444653458,2016-04-14,2016-07-19,2016-04-14
"15",0.437455990931327,0.31870125959528,0.244429937722196,279.419165487218,0.31870125959528,0.319633124313261,2016-04-15,2016-07-19,2016-04-15
"16",0.438366252077896,0.317565568364683,0.244002258278764,286.262486180136,0.317565568364683,0.320074563006613,2016-04-16,2016-07-19,2016-04-16
"17",0.442635653623939,0.31849601519263,0.239447137404908,281.034329999187,0.31849601519263,0.320630229785025,2016-04-17,2016-07-19,2016-04-17
"18",0.440045252096775,0.32041286208272,0.239779324948697,287.842101631396,0.32041286208272,0.320944084067182,2016-04-18,2016-07-19,2016-04-18
"19",0.429385048169943,0.319971274597226,0.249258603950913,294.293465676901,0.319971274597226,0.320944084067182,2016-04-19,2016-07-19,2016-04-19
"20",0.439756914493799,0.318408259934485,0.242643196396465,279.835785512642,0.318408259934485,0.320641111268365,2016-04-20,2016-07-19,2016-04-20
"21",0.441716360073502,0.319510953609265,0.238772686317233,284.694822132024,0.319510953609265,0.322682174836772,2016-04-21,2016-07-19,2016-04-21
"22",0.440509365348534,0.321991858689119,0.237535004120447,293.830614851696,0.321991858689119,0.322682174836772,2016-04-22,2016-07-19,2016-04-22
"23",0.439344560377258,0.320363653928739,0.239766510510478,287.787874094713,0.320363653928739,0.322682174836772,2016-04-23,2016-07-19,2016-04-23
"24",0.43697877339842,0.319336249468444,0.243381178315431,284.140704234207,0.319336249468444,0.322518657080372,2016-04-24,2016-07-19,2016-04-24
"25",0.418175785302936,0.322250036977926,0.260254307639144,290.424576893647,0.322250036977926,0.322518657080372,2016-04-25,2016-07-19,2016-04-25
"26",0.430006907590044,0.317057612997927,0.252931887790054,311.689803278739,0.317057612997927,0.322518657080372,2016-04-26,2016-07-19,2016-04-26
"27",0.443838940381624,0.318995201727816,0.238436125803709,278.665004960584,0.318995201727816,0.321339990157769,2016-04-27,2016-07-19,2016-04-27
"28",0.435392444008909,0.320731647697718,0.244092104445268,290.783956230324,0.320731647697718,0.321970800615587,2016-04-28,2016-07-19,2016-04-28
"29",0.438553463247439,0.321152663657056,0.240346328575848,298.806057279024,0.321152663657056,0.322067860465113,2016-04-29,2016-07-19,2016-04-29
"30",0.440371638028638,0.321121489939911,0.238506872031451,280.010161912838,0.321121489939911,0.322375089684416,2016-04-30,2016-07-19,2016-04-30
"31",0.422550204082339,0.321966865591775,0.255444917227834,298.385499454873,0.321966865591775,0.322338059730596,2016-05-01,2016-07-19,2016-05-01
"32",0.431376225555817,0.317667239254257,0.251768110049617,316.23152661771,0.317667239254257,0.322624744367718,2016-05-02,2016-07-19,2016-05-02
"33",0.418395080993536,0.321376642884596,0.259389925930851,302.100927560144,0.321376642884596,0.324280973676701,2016-05-03,2016-07-19,2016-05-03
"34",0.414358949090739,0.323340846605926,0.262447882694508,301.426466055654,0.323340846605926,0.324280973676701,2016-05-04,2016-07-19,2016-05-04
"35",0.41838866872715,0.322011174879325,0.259513192345958,295.957059899623,0.322011174879325,0.323498607665928,2016-05-05,2016-07-19,2016-05-05
"36",0.43086395845924,0.322626594172683,0.245873442006745,288.133262591985,0.322626594172683,0.323498607665928,2016-05-06,2016-07-19,2016-05-06
"37",0.421517003086658,0.32328220321058,0.25506144625027,299.362884713582,0.32328220321058,0.324185052148027,2016-05-07,2016-07-19,2016-05-07
"38",0.420418370693932,0.322190112460237,0.257563489321634,311.493519039594,0.322190112460237,0.324185052148027,2016-05-08,2016-07-19,2016-05-08
